Tipo Pregunta,Texto Pregunta,Respuesta,Cantidad Veces Seleccionada,Porcentaje Selección
"OPCION_MULTIPLE_SELECCION_MULTIPLE","Elegí las habilidades Pokémon que considerás más importantes","Velocidad","2","18.18%"
"OPCION_MULTIPLE_SELECCION_MULTIPLE","Elegí las habilidades Pokémon que considerás más importantes","Defensa","4","36.36%"
"OPCION_MULTIPLE_SELECCION_MULTIPLE","Elegí las habilidades Pokémon que considerás más importantes","Estrategia","4","36.36%"
"OPCION_MULTIPLE_SELECCION_MULTIPLE","Elegí las habilidades Pokémon que considerás más importantes","Ataque","1","9.09%"
"OPCION_MULTIPLE_SELECCION_SIMPLE","¿Cuál es tu tipo de Pokémon favorito?"","Agua","1","20.00%"
"OPCION_MULTIPLE_SELECCION_SIMPLE","¿Cuál es tu tipo de Pokémon favorito?"","Eléctrico","2","40.00%"
"OPCION_MULTIPLE_SELECCION_SIMPLE","¿Cuál es tu tipo de Pokémon favorito?"","Planta","2","40.00%"
"ABIERTA",""¿Qué Pokémon elegirías como tu compañero y por qué?"","Elegiría a Pikachu porque es leal, divertido y siempre está listo para una aventura.","",""
"ABIERTA",""¿Qué Pokémon elegirías como tu compañero y por qué?"","Me gustaría tener a Charizard, ya que su poder y habilidades de vuelo serían increíbles para explorar el mundo.","",""
"ABIERTA",""¿Qué Pokémon elegirías como tu compañero y por qué?"","Optaría por Eevee, porque puede evolucionar en diferentes formas y eso me daría más posibilidades para ganar batallas","",""
"ABIERTA",""¿Qué Pokémon elegirías como tu compañero y por qué?"","Elegiría a Gardevoir, ya que su conexión emocional y habilidades psíquicas serían muy útiles.","",""
"ABIERTA",""¿Qué Pokémon elegirías como tu compañero y por qué?"","Quisiera tener a Snorlax, porque su personalidad relajada y su gran tamaño lo harían un compañero divertido y protector.","",""
